Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
23000.0,127000.0,36.0,-5.76,4.0,0,M
17120.0,235000.0,83.0,-6.89,4.0,0,O
11096.0,112000.0,12.0,-5.91,4.0,0,O
14245.0,231000.0,42.0,-6.12,4.0,0,M
24630.0,363000.0,63.0,-5.83,4.0,0,O
12893.0,184000.0,36.0,-6.34,4.0,0,O
24345.0,142000.0,231.92623504310347,-6.24,4.0,0,O
33421.0,352000.0,67.0,-5.79,4.0,0,O
3459.0,100000.0,1289.0,-10.7,5.0,10,M
3605.0,126000.0,1124.0,-10.81,5.0,10,M
3615.0,200000.0,1635.0,-11.33,5.0,10,M
3399.0,117000.0,1486.0,-10.92,5.0,10,M
3610.0,132000.0,1522.0,-10.86,5.0,10,M
3553.0,145000.0,1324.0,-11.03,5.0,10,M
4015.0,282000.0,1534.0,-11.39,5.0,10,K
3625.0,74000.0,876.0,-10.25,5.0,10,M
3780.0,200000.0,1324.0,-10.7,5.0,10,M
3323.0,0.00043,0.0912,17.16,0.0,10,M
3531.0,0.00093,0.0976,19.94,0.0,10,M
3218.0,0.00054,0.11,20.02,0.0,10,M
3146.0,0.00015,0.0932,16.92,0.0,10,M
3511.0,0.00064,0.109,17.12,0.0,10,M
3225.0,0.00076,0.121,19.63,0.0,10,M
2935.0,0.00087,0.0932,16.88,0.0,10,M
2861.0,0.00019,0.0899,16.71,0.0,10,M
2856.0,0.000896,0.0782,19.56,0.0,10,M
2731.0,0.000437,0.0856,18.09,0.0,10,M
3095.0,0.00019,0.492,10.87,1.0,10,M
3607.0,0.00023,0.38,10.34,1.0,10,M
3100.0,0.008,0.31,4.348561403508771,1.0,10,M
2989.0,0.0087,0.34,13.12,1.0,10,M
3542.0,0.0009,0.62,4.348561403508771,1.0,10,M
3243.0,0.0023,0.73,14.75,1.0,10,M
3091.0,0.0081,0.24,11.43,1.0,10,M
3598.0,0.0011,0.56,14.26,1.0,10,M
3324.0,0.0034,231.92623504310347,12.23,2.48471615720524,10,M
3541.0,108436.8938025307,0.256,14.33,1.0,10,M
13420.0,0.00059,0.00981,13.67,2.0,2,B
21020.0,0.0015,0.0112,11.52,2.0,0,B
18290.0,108436.8938025307,0.00934,12.78,2.48471615720524,0,B
14520.0,0.00082,0.00972,11.92,2.0,2,B
11900.0,0.00067,0.00898,11.38,2.0,4,B
8924.0,0.00028,0.00879,14.87,2.0,3,A
12912.0,0.00071,0.00945,12.83,2.0,3,B
14732.0,0.00011,0.00892,12.89,2.0,16,F
7723.0,0.00014,0.00878,14.81,2.0,11,A
12984.0,0.00088,0.00996,11.23,2.0,2,B
29560.0,188000.0,6.02,-4.01,3.0,6,B
8945.0,38.0,2.487,0.12,3.0,5,M
14060.0,1092.0,5.745,-2.04,3.0,6,A
16390.0,108436.8938025307,5.68,-3.32,3.0,6,B
25070.0,14500.0,5.92,-3.98,3.0,6,B
10467.934497816594,16790.0,6.4,-4.09,3.0,6,B
26140.0,14520.0,5.49,-3.8,2.48471615720524,6,B
20120.0,4720.0,6.78,-3.4,3.0,6,B
13023.0,998.0,6.21,-1.38,3.0,6,A
37800.0,202900.0,6.86,-4.56,3.0,0,O
25390.0,223000.0,57.0,-5.92,4.0,0,O
11567.0,251000.0,36.0,-6.245,4.0,0,O
12675.0,452000.0,83.0,4.348561403508771,4.0,0,O
5752.0,245000.0,97.0,-6.63,4.0,0,O
8927.0,239000.0,35.0,-7.34,4.0,0,O
7282.0,131000.0,24.0,-7.22,4.0,10,O
19923.0,152000.0,73.0,-5.69,4.0,0,O
26373.0,198000.0,39.0,4.348561403508771,4.0,0,O
17383.0,342900.0,30.0,-6.09,4.0,0,O
10467.934497816594,424520.0,24.0,4.348561403508771,4.0,0,O
3570.0,320000.0,1480.0,-7.58,5.0,10,M
3500.0,138000.0,1420.0,-8.18,5.0,10,M
4287.0,630000.0,1315.0,-9.2,5.0,7,K
26000.0,316000.0,1679.0,-9.1,5.0,0,B
3600.0,240000.0,1190.0,-7.89,5.0,10,M
3614.0,145000.0,1553.0,-7.71,5.0,10,M
18000.0,200000.0,1045.0,-8.3,5.0,0,O
11000.0,170000.0,1779.0,-9.9,5.0,6,B
12100.0,120000.0,708.9,-7.84,5.0,6,B
24490.0,248490.0,1134.5,-8.24,5.0,6,B
2831.0,0.000231,0.0915,16.21,0.0,10,M
2914.0,0.000631,0.116,18.39,0.0,10,M
3419.0,0.000245,0.126,4.348561403508771,0.0,10,M
3218.0,0.000452,0.0987,17.34,0.0,10,M
3453.0,0.000621,0.0773,17.08,0.0,10,M
2889.0,0.000352,0.0973,16.93,0.0,10,M
2968.0,0.000461,0.119,17.45,0.0,10,M
10467.934497816594,0.000551,0.0998,16.67,0.0,10,M
2778.0,108436.8938025307,0.112,19.45,0.0,10,M
3523.0,0.000957,0.129,16.35,0.0,10,M
3462.0,0.0053,0.148,11.47,1.0,10,M
3257.0,0.0024,0.46,10.73,1.0,10,M
2994.0,0.0072,0.28,13.45,1.0,10,M
3212.0,0.0016,0.378,12.854,1.0,10,M
3523.0,0.0054,0.319,12.43,1.0,10,M
3598.0,0.0027,0.67,13.667,1.0,10,M
3142.0,0.00132,0.258,14.12,1.0,10,M
3496.0,0.00125,0.336,14.94,1.0,10,M
3324.0,0.0065,0.471,12.78,1.0,10,M
10467.934497816594,0.0027,0.675,14.776,1.0,10,M
16790.0,0.0014,0.0121,12.87,2.0,0,B
15680.0,0.00122,0.0114,11.92,2.0,0,B
14982.0,0.00118,0.0113,12.23,2.0,0,B
13340.0,0.00109,0.0116,12.9,2.0,0,B
10467.934497816594,0.00134,0.0124,11.22,2.0,0,B
19920.0,0.00156,0.0142,11.34,2.0,0,B
24020.0,0.00159,0.0127,4.348561403508771,2.0,0,B
23092.0,0.00132,0.0104,10.18,2.0,0,B
17920.0,0.00111,0.0106,11.66,2.0,0,B
19360.0,0.00125,0.00998,11.62,2.0,0,B
22350.0,12450.0,6.36,-3.67,3.0,6,B
10012.0,552.0,5.856,4.348561403508771,3.0,6,A
13089.0,108436.8938025307,5.992,-0.12,3.0,6,A
22012.0,6748.0,6.64,-2.55,3.0,6,B
34190.0,198200.0,6.39,-4.57,3.0,0,O
32460.0,173800.0,6.237,-4.36,3.0,0,O
9320.0,29.0,1.91,1.236,3.0,6,A
19400.0,10920.0,6.03,-3.08,3.0,6,B
17140.0,883.0,5.653,-2.64,3.0,6,B
8250.0,9.25,1.93,-0.98,3.0,17,F
23678.0,244290.0,35.0,-6.27,4.0,0,O
12749.0,332520.0,76.0,-7.02,2.48471615720524,0,O
9383.0,342940.0,98.0,-6.98,4.0,0,O
23440.0,537430.0,231.92623504310347,-5.975,4.0,0,O
16787.0,246730.0,62.0,-6.35,4.0,10,O
18734.0,224780.0,46.0,-7.45,4.0,0,O
9892.0,108436.8938025307,80.0,-7.262,2.48471615720524,0,O
10930.0,783930.0,25.0,-6.224,2.48471615720524,0,O
23095.0,347820.0,86.0,-5.905,4.0,0,O
21738.0,748890.0,92.0,-7.346,4.0,0,O
10467.934497816594,382993.0,1494.0,-8.84,5.0,6,B
38234.0,272830.0,1356.0,-9.29,5.0,0,O
32489.0,648430.0,1948.5,-10.84,5.0,0,O
27739.0,849420.0,1252.0,-7.59,5.0,6,B
21904.0,748490.0,1130.0,-7.67,5.0,6,B
38940.0,374830.0,1356.0,-9.93,5.0,0,O
30839.0,834042.0,1194.0,-10.63,2.48471615720524,0,O
8829.0,537493.0,1423.0,-10.73,5.0,11,A
9235.0,108436.8938025307,1112.0,-11.23,5.0,11,A
37882.0,294903.0,1783.0,-7.8,5.0,0,O
12011.489857804825,785.8169894227854,6.64532385253062,-2.2295418636906565,3.0,6,A
9148.45276001446,22.367025324911612,1.4753450398073027,4.2012512255634,2.7712703466859456,5,A
9291.122585823705,26.85274656471635,1.7692781393793613,2.1648161113524296,2.9259553482659095,6,A
9891.197049480581,354.12707915313933,3.7607319700858723,7.801102056929427,2.6415342714557273,4,A
8929.30478564285,0.0005275566633329636,0.009417732967737158,13.906297274882391,2.0,14,A
13399.474029849738,15787.148211314692,157.18751960799523,-3.2980795162032948,3.2737931482488127,6,A
8808.895536001402,10.924665971064233,0.7257335590276399,9.503426354240728,2.376701873172442,9,A
9048.663619620827,19.4041227282856,1.2812937527799666,5.625031401645538,2.669101975147351,7,A
8902.66990937701,0.0005561864989828385,0.009531779175143012,13.825762012205937,2.0,15,A
7976.346564503903,0.0004931098232171566,0.01161230136718535,14.169271514423517,2.0,11,A
8812.934004070372,0.0006412958305066867,0.00956503666440535,13.916576995251233,2.0,11,A
11106.554190087516,698.0126636974454,5.825986285795525,2.621133870692094,3.0,6,A
7938.917931062826,5.546927597629391,1.1520759892428603,6.6243333322795275,2.6375574713552132,12,A
8694.629919453158,0.0007693965873274776,0.009835344708908409,14.175186803366792,2.0,2,A
13024.485683167744,57747.03280905127,6.412648119670134,-0.9527627458336155,3.0,6,A
7777.31340473275,1.040901338482715,0.22613384969406441,12.6327067471157,2.119594245938302,11,A
9235.989671501382,158.28907716144715,1.685507947701832,11.852922636542964,2.286755212777005,3,A
10205.812964971628,260.7992878902264,2.9386242909473412,0.6102136871818036,3.0,6,A
8926.632336814582,0.00040284238468054105,0.009101493189725657,14.39179214535075,2.0,8,A
12616.924810059436,923.3353006651869,6.386355271434988,-1.5907101944418036,3.0,6,A
9029.481012123942,325626.9841664373,1269.4295695306746,-10.976897798182195,5.0,11,A
11449.051450730816,764.8611580956307,6.024952578398774,1.614507110744627,3.0,6,A
8776.085233390922,0.0006668852545896373,0.00958550820367171,13.95956722771059,2.0,10,A
7744.530000352249,0.00015703081491854376,0.008803385596604566,14.794494332686103,2.0,10,A
12661.779502426416,890.3244044118243,5.541170254925806,0.27721231861715645,2.8921085730066958,5,A
8912.874068266896,0.00029665746841396915,0.008818600558974928,14.848942445589888,2.0,3,A
10666.372247090221,381.31831148539675,3.473435231565744,0.2848496358660495,3.0,6,A
10147.408984634114,368842.5879324561,977.6235895708712,-7.790771576936345,4.371288037847346,9,A
8951.428018373526,14.748948101516536,0.9761368844202847,7.606889559740793,2.508570691164703,4,A
9383.964000043143,77.34273413665335,2.274742693887637,1.5237050256478644,3.0,6,A
9839.489777428978,421.6201641551384,4.872292863778539,3.5726240328653187,3.0,6,A
7858.015981678722,3.5704139768007535,0.7438660993998807,9.725355583588549,2.4103829230356295,11,A
9489.15861212821,156.84675454198555,2.87459520730913,1.9968620913025696,3.0,6,A
13822.736302385187,1070.4929724437875,5.851391146953604,-1.8889932107755292,3.0,6,A
13695.115227411521,1010.170355851993,5.449782045806579,-1.7878138154008743,3.0,6,A
9696.75041922982,392.0572791220069,4.161762407008086,7.397163523585101,2.710248547086232,5,A
7862.528178313043,0.00049161221287254,0.01196274218782563,14.097386217881922,2.0,11,A
13095.903534520752,1004.6084206797981,6.177309408339297,-1.4263995494539017,3.0,6,A
8842.643040935312,0.0003222135164958282,0.009022174340727055,14.799004540438833,2.0,4,A
8926.199577460937,0.0003826469481770814,0.009050283332877598,14.47041009459636,2.0,7,A
8974.901606285664,3.7278868935214398,0.25317041132920926,13.117493686619342,2.1285394098122823,3,A
12841.39667113168,22091.254880507462,6.367062338480708,-1.1051409076587602,3.0,6,A
8135.583386380944,7.076933772720931,1.466039594593996,4.6737663113433126,2.8134299411139643,12,A
8480.823968746681,0.0007756188795167928,0.00998364424398646,14.180660619728195,2.0,3,A
11025.815678186345,475.37736758373444,3.890828359762702,0.03091930485134231,3.0,6,A
8151.745999625015,7.024885323401661,1.4552601097902211,4.6883549721673425,2.8074401551640626,11,A
8098.551097634275,7.796046263684428,1.614003426863053,3.675217096924202,2.8960912999234933,12,A
12772.721933313895,920.2781235151936,5.780298385721877,-0.008415273613082697,3.0,6,A
7774.336200452635,0.9578878179477692,0.20907542340114663,12.743397675478949,2.110051924527677,11,A
10098.418395708875,83947.79208032445,859.9515766127463,-8.984838648961874,4.544129674916117,9,A
11441.419858716972,584.1325528211576,4.373436508907098,-0.2626860249537135,3.0,6,A
9610.395241902484,5.277939894892366,0.3565081580365932,11.660780176916253,2.1819852340775068,2,A
8559.05023269931,0.0004693607283163956,0.009831484005740175,14.551529684195152,2.0,9,A
8502.989416128412,0.0005004171278318715,0.009996523934734405,14.494994466017543,2.0,11,A
7891.035862548019,4.443570027802461,0.9236407833229873,8.481840921063961,2.510747302577566,12,A
10281.606472694833,391.50003963418226,4.070436602551436,4.411968930632366,2.582588996851221,10,A
9775.17927260531,442196.287683383,1108.2714557004915,-8.373436130905553,4.555784379058539,9,A
9578.174546676333,108436.8938025307,979.5499677499538,-9.88151461749607,4.760269265332634,10,A
12432.576634860996,108436.8938025307,6.666307755511107,-0.02726612399650791,3.0,6,A
8855.434554398935,0.0002720073585477527,0.008789429097039125,14.866574582234751,2.0,3,A
8008.258433577227,0.0005934249382466417,0.011486744259465206,14.078176527763736,2.0,8,A
7901.86267398393,4.513714201762631,0.9397612428657459,8.002028787776954,2.518790621743366,12,A
8549.211327122663,0.0007179358772575051,0.009789094312331447,14.289094312331446,2.0,5,A
12465.484193566796,694.9166378351321,3.6599114969968904,3.7853462301162892,2.636370397620706,4,A
8546.579128658397,0.0008009702664707074,0.009774495301616663,14.194920774889772,2.0,3,A
9839.668611678842,41.0079870244972,0.22623096607243998,13.378405664972622,2.0375527050578888,2,A
9739.571555916957,413.01631370248464,4.383954807457009,6.7232306662692825,2.748217704174636,8,A
8274.767330639788,4.374186622989193,0.9099251744526301,8.426761951180016,2.5027514941076143,12,A
8796.42759663769,0.00034619322815968934,0.009154062754878291,14.758675025367795,2.0,5,A
10700.257845851487,488.8475621152883,5.535858693506239,-1.2928040118812745,3.0,6,A
9292.3347894841,27.930308405145905,1.8399037339421813,1.714202385504163,2.9631130526454674,5,A
9590.18148088591,233.19785332851393,3.450659138115327,2.451254984607414,3.0,6,A
8309.61226596745,4.37371033208228,0.9096462552866308,8.27844110636401,2.5026790232288616,8,A
7762.998989721242,0.00015853235044999616,0.008842804076524987,14.794041587112504,2.0,11,A
8778.984848177459,8.0813317592257,0.5392118759888327,10.58762723763657,2.2786464642366115,3,A
8965.776304473005,2.660797935863183,0.18384068372037476,12.629287273565703,2.091734114033346,15,A
9849.533654241302,434707.5079971249,1083.5388844297747,-8.188248340023423,4.520876218666055,9,A
9911.732748512874,476.21998189629034,5.2842448347280335,3.8975672170712903,3.0,6,A
11682.944059284626,55691.0690698636,6.995316417191673,-1.1155304038439462,3.0,6,A
11221.08566503286,2218.377288885662,22.83653519870404,-2.4281414447923364,3.0286990917787984,6,A
9844.179808719233,407631.5571104376,1080.0585118752213,-8.46678321136747,4.515889456976999,9,A
11825.410399702256,108436.8938025307,368.61270748471907,-3.7625740683206885,3.655728905188243,7,A
10976.96379714935,680.7254077224925,5.829539777301488,2.825653678644243,3.0,6,A
8827.815856083269,0.0005457417473604559,0.009618818771996199,13.951099031674527,2.0,14,A
9416.48319624279,21.118396412387053,1.3938556676487825,4.699610853290462,2.7282163486118596,4,A
11661.099059540606,641.6181443950436,4.628532529307211,-0.4178793248064335,3.0,6,A
8927.793834983562,0.0004570456325662022,0.00923893713972144,14.180786644652997,2.0,11,A
9199.219187218569,0.0003422999491706479,0.009563252310294512,14.543841442577197,2.0,2,A
8971.83101305607,15.537841860673893,1.0278326321472635,7.254216995654831,2.5357746840747586,4,A
8991.80761731086,0.00029534926090924937,0.0089805114148148,14.789642104651575,2.0,2,A
11046.104489539477,652.2362994707086,6.7948800050423035,-1.2049985289203917,3.0,6,A
9433.876923064967,19.6975224668489,1.3008065786121765,5.324021147999801,2.6792199350282644,4,A
8416.439707340865,1.6231177812235316,0.3438681336157391,12.246856394369761,2.1865185103998543,11,A
7739.306822593569,0.00047572870045583263,0.01219484049606504,14.052212361828262,2.0,11,A
8754.083965570944,0.0005354535765912944,0.00970455352840588,14.074557080904466,2.0,13,A
9278.87536048665,177.9848516991027,1.8946199584890957,10.738968077395022,2.3224356381577174,12,A
8568.83885197505,0.0008048577730323645,0.009704976348678358,14.204976348678356,2.0,3,A
10701.122425910842,108436.8938025307,546.1422915098775,-5.46895309413309,3.975813883401438,8,A
8597.393183335113,0.0005135897465118762,0.009886752112401032,14.336923041857485,2.0,12,A
21611.31895037254,12316.211965138216,5.987099632356088,-3.431003007995641,3.0,6,B
19982.516589400635,0.0012616763561784684,0.01005005813707081,11.379800672900076,2.0,0,B
28681.041206715596,198486.82789068512,201.65854419045064,-4.743332484337876,3.3467293070155444,6,B
22361.77859755582,24127.719678742447,6.339106060757324,-4.156983333166943,3.0,6,B
12633.275629775995,15999.09537899981,6.392710556488478,-4.013460843129014,3.0,6,B
14868.976971566755,0.0010919301077143549,0.01091347102830189,12.154162037198473,2.0,0,B
18416.15395862944,375.41335573092596,2.409143102871584,5.55727722975485,2.425155874491245,2,B
9859.68557644983,58.61252073058364,2.2921677192539573,2.7156030366500405,2.7920583371318113,10,B
21851.13914126065,12467.632826404431,5.982447036060199,-3.4690697049620076,3.0,6,B
25513.63989049124,318097.77140147524,1673.2070408957218,-9.091858543961555,5.0,0,B
23550.3567883179,326565.8160955573,1649.8226833000747,-9.0589940413947,5.0,0,B
10707.23315664704,287198.5178711735,1622.1799280103833,-9.316739381371951,5.0,6,B
14053.72272151786,0.0009266905637204899,0.010462882443683411,12.307247231281778,2.0,1,B
20067.19438337153,5174.715032078476,6.724994149345346,-3.376530837054014,3.0,6,B
13301.0905901934,0.0006690911212016379,0.009850909200621536,13.004543669889667,2.0,2,B
20054.69184623883,3178.7280806400563,4.570690466413479,1.4132109321980137,2.6734592311941645,4,B
23902.74714291911,153823.18831785396,5.873950951297836,-3.7136063423397254,3.0,6,B
23477.28883284103,10462.492816279815,6.295000667218593,-3.235207008163072,3.0,6,B
15652.898072995846,0.0012184468809739739,0.011396117202434936,11.932036672451702,2.0,0,B
15723.05021082927,110234.56542037707,115.00690693255035,-4.022707003974756,3.310932302643697,6,B
15378.082675504498,848.9559533855302,5.383585343733576,1.5397236701917798,2.7473201101373808,4,B
15671.989052660741,114677.4112432843,382.5937826836843,0.9887049007774511,3.6190763971672393,3,B
23880.478775913376,0.02391644626150078,0.009573502331327696,10.34529953373446,2.0,0,B
13404.851313967165,0.0006000759608934,0.009815211703910379,13.585222949724496,2.0,2,B
13080.189341990099,0.0008593269858790599,0.010294876367473628,12.857507602661933,2.0,1,B
13890.240621662868,0.0007859196564494683,0.009645197791460867,12.371479402876457,2.0,1,B
13159.833856582762,151760.48270484305,1251.9322005469808,-3.180516890631412,4.25478803805436,4,B
22799.526074251367,12788.797225079155,6.287282546812279,-3.7212327511095307,3.0,6,B
19385.956435190383,0.0012539091016852985,0.009999076416224256,11.61843635932588,2.0,0,B
10025.144603461049,42.66870536117974,1.6727207429691875,5.3636041978812825,2.5765985192936305,8,B
10467.934497816594,0.001197842653456795,0.01342669194725648,11.705704267355951,2.0,0,B
21064.077950651277,11970.687665490575,5.997716300781016,-3.3441393572462346,3.0,6,B
13412.847450060737,0.0005916895787258102,0.009804931263822569,13.65817294891933,2.0,2,B
9852.69794172858,59.2859285462499,2.3178110979940545,2.3591969892221853,2.801157595911195,10,B
12291.152938022815,0.000808865804725135,0.009419380115911025,11.870207757473786,2.0,2,B
11793.880806747142,0.0007716070216212482,0.009095087770265603,11.932765008099334,2.0,3,B
25770.236041936492,485280.47235484683,1180.799702963231,-7.9838739836076575,5.0,6,B
14049.884597389077,0.000664104070281068,0.008967066200552853,12.280548682229977,2.0,2,B
17882.128910178915,0.001455827675919689,0.012832738246445917,12.336147849017975,2.0,0,B
33238.82260969366,273526.08101923356,130.25943778332476,-6.226710083439766,2.6986167112959922,0,B
20771.064039131066,0.00146250964444745,0.011017047064903555,11.53499614222102,2.0,0,B
17490.5715258278,486.13555362621474,3.117019516242601,3.7871446401763085,2.5505493258617964,3,B
28136.443355138337,27690.308096290544,6.309541011649041,-4.189504887186055,3.0,6,B
18406.997091850455,0.00130562273782974,0.010766134694660324,12.083522815247832,2.0,0,B
17641.07798065453,0.0013503261878995412,0.011397943455646847,12.456051565829508,2.0,0,B
20916.801818162465,0.0013635863987500512,0.010888691190000408,9.190774929683633,2.0,0,B
17840.364685591143,0.0013386946681561592,0.01123355130994038,12.359122234634658,2.0,0,B
19428.6867850056,108436.8938025307,0.012067046058357359,11.735599381905692,2.1331620917986776,0,B
18663.247764714542,15504.752554808765,6.1306031555931035,-4.028263223156753,3.0,6,B
23574.39068511176,138903.7454044315,2.31330344395854,5.462072472529326,2.3829268747537897,2,B
23935.13628616731,0.0015874540885850194,0.012657568143083655,4.551426374449215,2.0,0,B
15741.8403061015,110183.91929751149,111.92682049960445,-4.002909514317301,3.3021723514678323,6,B
18726.88465177115,108436.8938025307,0.010386297000420076,12.379290510477418,2.3498339600406153,0,B
16220.296698816768,136046.97454292898,543.030919606854,-6.9361777573614996,4.528030160502088,6,B
9896.643698846454,55.05119506261833,2.153803572061194,3.3070796867366714,2.743931677238676,10,B
14475.523051507726,0.0008107002744061608,0.009723639023058459,11.990758781692255,2.0,2,B
20701.729178654365,0.0015173602266188527,0.012068011330942638,11.46791932014344,2.0,0,B
15192.166539466256,1010.0281184882326,6.402663948933106,-0.4297264989236629,2.8891091791881687,5,B
14819.492946549117,114919.90537250144,397.45845723028293,1.2191186684721789,3.8949439953070586,3,B
12787.525496925324,0.0008598280797664605,0.009806693406225099,11.411547282101857,2.0,2,B
14405.339955240872,0.0007960256270049095,0.009729381276389382,12.10241370757134,2.0,2,B
24961.075634269615,20321.36560057656,6.17165003974083,-3.6675853500360347,3.0,6,B
17299.851312206465,0.006302653449200798,0.012084863055280295,8.466916160917577,2.0,0,B
12230.060562314078,0.0007339416218505132,0.009278394235302394,11.334327412963919,2.0,3,B
18778.787913810404,110047.9982064737,98.78334278627254,8.667622704495304,2.417994363217627,1,B
15406.202694935288,132790.18869192366,703.7471275230855,3.8081861620208954,3.4797187315981537,2,B
12425.063335645891,0.0007477888763911171,0.009315039727174582,12.452111236088829,2.0,2,B
30410.826531638682,194497.9591915126,10.077163270200693,-4.4343979596956675,2.8953658317960578,4,B
